,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,play_type,rush_attempt,rusher,rushing_yards,rush_touchdown,pass_attempt,complete_pass,passer,passing_yards,pass_touchdown,receiver,receiving_yards,first_down,touchdown
8125,BUF,1.0,10,3,5,83,0.0,run,1,Z.Moss,0.0,0,0,0,,,0,,,0,0
8126,BUF,2.0,10,3,5,83,0.0,run,1,J.Allen,0.0,0,0,0,,,0,,,0,0
8127,BUF,3.0,10,3,5,83,0.0,pass,0,,,0,1,0,J.Allen,,0,S.Diggs,,0,0
8128,KC,1.0,10,3,5,52,1.0,pass,0,,,0,1,1,P.Mahomes,6.0,0,Da.Williams,6.0,0,0
8129,KC,2.0,4,3,5,46,1.0,pass,0,,,0,1,1,P.Mahomes,8.0,0,Da.Williams,8.0,1,0
8130,KC,1.0,10,3,5,38,1.0,pass,0,,,0,1,1,P.Mahomes,5.0,0,M.Hardman,5.0,0,0
8131,KC,1.0,10,3,5,15,1.0,pass,0,,,0,1,1,P.Mahomes,5.0,0,T.Hill,5.0,0,0
8132,KC,2.0,5,4,5,10,1.0,pass,0,,,0,1,1,P.Mahomes,4.0,0,Da.Williams,4.0,0,0
8133,KC,3.0,1,4,5,6,1.0,run,1,Da.Williams,5.0,0,0,0,,,0,,,1,0
8134,KC,1.0,1,4,5,1,1.0,pass,0,,,0,1,1,P.Mahomes,1.0,1,T.Kelce,1.0,1,1
8135,BUF,1.0,10,4,5,85,1.0,run,1,D.Singletary,3.0,0,0,0,,,0,,,0,0
8136,BUF,2.0,7,4,5,82,1.0,pass,0,,,0,1,1,J.Allen,-2.0,0,D.Singletary,-2.0,0,0
8137,BUF,1.0,10,4,5,77,1.0,pass,0,,,0,1,1,J.Allen,11.0,0,E.Sanders,11.0,1,0
8138,BUF,1.0,10,4,5,66,1.0,run,1,Z.Moss,1.0,0,0,0,,,0,,,0,0
8139,BUF,2.0,9,4,5,65,1.0,pass,0,,,0,1,1,J.Allen,5.0,0,C.Beasley,5.0,0,0
8140,BUF,3.0,4,4,5,60,1.0,run,1,,4.0,0,0,0,J.Allen,,0,,,1,0
8141,BUF,1.0,10,4,5,56,1.0,pass,0,,,0,1,0,J.Allen,,0,E.Sanders,,0,0
8142,BUF,2.0,10,4,5,56,1.0,pass,0,,,0,1,1,J.Allen,16.0,0,Z.Moss,16.0,1,0
8143,BUF,1.0,10,4,5,40,1.0,pass,0,,,0,1,1,J.Allen,16.0,0,G.Davis,16.0,1,0
8144,BUF,1.0,10,4,5,24,1.0,run,1,,12.0,0,0,0,J.Allen,,0,,,1,0
8145,BUF,1.0,10,4,5,12,1.0,run,1,Z.Moss,4.0,0,0,0,,,0,,,0,0
8146,BUF,2.0,6,4,5,8,1.0,pass,0,,,0,1,1,J.Allen,8.0,1,E.Sanders,8.0,1,1
8147,KC,1.0,10,4,5,77,1.0,pass,0,,,0,1,0,P.Mahomes,,0,Da.Williams,,0,0
8148,KC,2.0,10,4,5,77,1.0,pass,0,,,0,1,1,P.Mahomes,8.0,0,T.Hill,8.0,0,0
8149,KC,3.0,2,4,5,69,1.0,pass,0,,,0,1,1,P.Mahomes,6.0,0,M.Hardman,6.0,1,0
8150,KC,1.0,10,4,5,63,1.0,pass,0,,,0,1,1,P.Mahomes,4.0,0,M.Hardman,4.0,0,0
8151,KC,2.0,6,4,5,59,1.0,run,1,,9.0,0,0,0,P.Mahomes,,0,,,1,0
8152,KC,1.0,10,4,5,50,1.0,pass,0,,,0,1,0,P.Mahomes,,0,T.Hill,,0,0
8153,KC,2.0,10,4,5,50,1.0,pass,0,,,0,1,1,P.Mahomes,4.0,0,J.McKinnon,4.0,0,0
8154,KC,1.0,5,4,5,26,1.0,pass,0,,,0,1,1,P.Mahomes,11.0,0,T.Hill,11.0,1,0
8155,KC,1.0,10,4,5,15,1.0,pass,0,,,0,1,0,P.Mahomes,,0,,,0,0
8156,KC,2.0,10,4,5,15,1.0,run,1,P.Mahomes,0.0,0,0,0,,,0,,,0,0
8157,BUF,1.0,10,4,5,65,0.0,run,1,Z.Moss,6.0,0,0,0,,,0,,,0,0
8158,BUF,2.0,4,4,5,59,0.0,run,1,Z.Moss,6.0,0,0,0,,,0,,,1,0
8159,BUF,1.0,10,4,5,53,0.0,run,1,Z.Moss,0.0,0,0,0,,,0,,,0,0
8160,BUF,2.0,10,4,5,53,0.0,run,1,Z.Moss,8.0,0,0,0,,,0,,,0,0
8161,BUF,3.0,2,4,5,45,0.0,run,1,Z.Moss,3.0,0,0,0,,,0,,,1,0
8162,CHI,1.0,10,1,5,72,0.0,run,1,D.Williams,6.0,0,0,0,,,0,,,0,0
8163,CHI,2.0,9,1,5,71,0.0,run,1,D.Williams,1.0,0,0,0,,,0,,,0,0
8164,CHI,3.0,8,1,5,70,0.0,pass,0,,,0,1,0,J.Fields,,0,D.Williams,,0,0
8165,LV,1.0,10,1,5,73,0.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,0,0
8166,LV,2.0,10,1,5,73,0.0,pass,0,,,0,1,0,D.Carr,,0,H.Renfrow,,0,0
8167,LV,3.0,10,1,5,73,0.0,pass,0,,,0,1,1,D.Carr,3.0,0,H.Renfrow,3.0,0,0
8168,CHI,1.0,10,1,5,81,0.0,run,1,D.Williams,1.0,0,0,0,,,0,,,0,0
8169,CHI,2.0,9,1,5,80,0.0,pass,0,,,0,1,0,J.Fields,,0,C.Kmet,,0,0
8170,CHI,3.0,4,1,5,75,0.0,run,1,J.Fields,3.0,0,0,0,,,0,,,0,0
8171,LV,1.0,10,1,5,81,1.0,pass,0,,,0,1,1,D.Carr,12.0,0,B.Edwards,12.0,1,0
8172,LV,1.0,10,1,5,69,1.0,run,1,J.Jacobs,3.0,0,0,0,,,0,,,0,0
8173,LV,2.0,17,1,5,76,1.0,pass,0,,,0,1,1,D.Carr,8.0,0,J.Jacobs,8.0,0,0
8174,LV,3.0,9,1,5,68,1.0,pass,0,,,0,1,1,D.Carr,29.0,0,D.Waller,29.0,1,0
8175,LV,1.0,10,1,5,39,1.0,pass,0,,,0,1,1,D.Carr,9.0,0,H.Renfrow,9.0,0,0
8176,LV,2.0,1,1,5,30,1.0,run,1,J.Jacobs,11.0,0,0,0,,,0,,,1,0
8177,LV,1.0,10,1,5,19,1.0,pass,0,,,0,1,0,D.Carr,,0,B.Edwards,,0,0
8178,LV,2.0,10,1,5,19,1.0,run,1,K.Drake,3.0,0,0,0,,,0,,,0,0
8179,LV,3.0,7,1,5,16,1.0,run,1,K.Drake,8.0,0,0,0,,,0,,,1,0
8180,LV,1.0,8,1,5,8,1.0,run,1,J.Jacobs,6.0,0,0,0,,,0,,,0,0
8181,LV,2.0,12,1,5,12,1.0,pass,0,,,0,1,0,D.Carr,,0,J.Jacobs,,0,0
8182,LV,3.0,12,1,5,12,1.0,pass,0,,,0,1,0,D.Carr,,0,B.Edwards,,0,0
8183,CHI,1.0,10,1,5,72,1.0,run,1,J.Fields,0.0,0,0,0,,,0,,,0,0
8184,CHI,2.0,22,1,5,84,1.0,pass,0,,,0,1,1,J.Fields,4.0,0,A.Robinson,4.0,1,0
8185,CHI,1.0,10,1,5,65,1.0,pass,0,,,0,1,1,J.Fields,18.0,0,D.Williams,18.0,1,0
8186,CHI,1.0,10,1,5,47,1.0,run,1,D.Williams,5.0,0,0,0,,,0,,,0,0
8187,CHI,2.0,5,1,5,42,1.0,run,1,K.Herbert,11.0,0,0,0,,,0,,,1,0
8188,CHI,1.0,10,1,5,31,1.0,pass,0,,,0,1,1,J.Fields,7.0,0,A.Robinson,7.0,0,0
8189,CHI,2.0,3,1,5,24,1.0,run,1,D.Williams,14.0,0,0,0,,,0,,,1,0
8190,CHI,1.0,5,2,5,5,1.0,run,1,D.Williams,0.0,0,0,0,,,0,,,0,0
8191,CHI,1.0,2,2,5,2,1.0,run,1,D.Williams,0.0,0,0,0,,,0,,,0,0
8192,CHI,2.0,2,2,5,2,1.0,pass,0,,,0,1,1,J.Fields,2.0,1,J.Horsted,2.0,1,1
8193,LV,1.0,10,2,5,82,0.0,pass,0,,,0,1,1,D.Carr,29.0,0,H.Ruggs,29.0,1,0
8194,LV,1.0,10,2,5,36,0.0,pass,0,,,0,1,1,D.Carr,4.0,0,J.Jacobs,4.0,0,0
8195,LV,2.0,6,2,5,32,0.0,run,1,J.Jacobs,5.0,0,0,0,,,0,,,0,0
8196,LV,3.0,1,2,5,27,0.0,run,1,D.Carr,0.0,0,0,0,,,0,,,0,0
8197,LV,4.0,1,2,5,27,0.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,0,0
8198,CHI,1.0,10,2,5,86,1.0,run,1,K.Herbert,6.0,0,0,0,,,0,,,0,0
8199,CHI,2.0,4,2,5,80,1.0,pass,0,,,0,1,1,J.Fields,2.0,0,D.Williams,2.0,0,0
8200,CHI,3.0,2,2,5,78,1.0,run,1,D.Williams,8.0,0,0,0,,,0,,,1,0
8201,CHI,1.0,10,2,5,70,1.0,pass,0,,,0,1,0,J.Fields,,0,M.Goodwin,,0,0
8202,CHI,2.0,10,2,5,70,1.0,run,1,D.Williams,9.0,0,0,0,,,0,,,0,0
8203,CHI,3.0,1,2,5,61,1.0,pass,0,,,0,1,1,J.Fields,15.0,0,D.Mooney,15.0,1,0
8204,CHI,1.0,10,2,5,46,1.0,pass,0,,,0,1,0,J.Fields,,0,,,0,0
8205,CHI,2.0,10,2,5,46,1.0,run,1,K.Herbert,3.0,0,0,0,,,0,,,0,0
8206,CHI,3.0,7,2,5,43,1.0,pass,0,,,0,1,1,A.Dalton,8.0,0,M.Goodwin,8.0,1,0
8207,CHI,1.0,10,2,5,35,1.0,run,1,D.Williams,3.0,0,0,0,,,0,,,0,0
8208,CHI,2.0,7,2,5,32,1.0,pass,0,,,0,1,0,J.Fields,,0,C.Kmet,,0,0
8209,CHI,3.0,7,2,5,32,1.0,pass,0,,,0,1,1,J.Fields,12.0,0,A.Robinson,12.0,1,0
8210,CHI,1.0,10,2,5,20,1.0,run,1,K.Herbert,9.0,0,0,0,,,0,,,0,0
8211,CHI,2.0,1,2,5,11,1.0,run,1,K.Herbert,7.0,0,0,0,,,0,,,1,0
8212,CHI,1.0,4,2,5,4,1.0,run,1,K.Herbert,0.0,0,0,0,,,0,,,0,0
8213,CHI,2.0,4,2,5,4,1.0,run,1,D.Williams,4.0,1,0,0,,,0,,,1,1
8214,LV,1.0,10,2,5,75,0.0,pass,0,,,0,1,1,D.Carr,4.0,0,J.Richard,4.0,0,0
8215,LV,2.0,6,2,5,71,0.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
8216,LV,3.0,14,2,5,79,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
8217,CHI,1.0,10,2,5,60,0.0,pass,0,,,0,1,1,J.Fields,8.0,0,C.Kmet,8.0,0,0
8218,CHI,2.0,2,2,5,52,0.0,pass,0,,,0,1,0,J.Fields,,0,D.Mooney,,0,0
8219,CHI,3.0,2,2,5,52,0.0,run,1,K.Herbert,8.0,0,0,0,,,0,,,1,0
8220,CHI,2.0,10,2,5,44,0.0,pass,0,,,0,1,0,J.Fields,,0,,,0,0
8221,LV,1.0,10,3,5,75,0.0,pass,0,,,0,1,1,D.Carr,9.0,0,H.Renfrow,9.0,0,0
8222,LV,2.0,1,3,5,66,0.0,run,1,J.Jacobs,-1.0,0,0,0,,,0,,,0,0
8223,LV,3.0,2,3,5,67,0.0,pass,0,,,0,1,0,D.Carr,,0,B.Edwards,,0,0
8224,CHI,1.0,10,3,5,82,0.0,run,1,K.Herbert,8.0,0,0,0,,,0,,,0,0
8225,CHI,2.0,2,3,5,74,0.0,run,1,K.Herbert,1.0,0,0,0,,,0,,,0,0
8226,CHI,3.0,1,3,5,73,0.0,run,1,D.Williams,0.0,0,0,0,,,0,,,0,0
8227,LV,1.0,10,3,5,79,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
8228,LV,2.0,10,3,5,79,0.0,pass,0,,,0,1,1,D.Carr,6.0,0,Z.Jones,6.0,0,0
8229,LV,3.0,4,3,5,73,0.0,pass,0,,,0,1,0,D.Carr,,0,Z.Jones,,0,0
8230,CHI,1.0,10,3,5,55,0.0,pass,0,,,0,1,0,J.Fields,,0,D.Mooney,,0,0
8231,CHI,2.0,10,3,5,55,0.0,run,1,K.Herbert,0.0,0,0,0,,,0,,,0,0
8232,CHI,3.0,10,3,5,55,0.0,pass,0,,,0,1,0,J.Fields,,0,A.Robinson,,0,0
8233,LV,1.0,10,3,5,89,0.0,run,1,J.Jacobs,5.0,0,0,0,,,0,,,0,0
8234,LV,2.0,5,3,5,84,0.0,pass,0,,,0,1,0,D.Carr,,0,K.Drake,,0,0
8235,LV,3.0,10,3,5,89,0.0,pass,0,,,0,1,1,D.Carr,17.0,0,H.Renfrow,17.0,1,0
8236,LV,1.0,10,3,5,72,0.0,pass,0,,,0,1,1,D.Carr,5.0,0,J.Jacobs,5.0,0,0
8237,LV,2.0,5,3,5,67,0.0,run,1,J.Jacobs,5.0,0,0,0,,,0,,,1,0
8238,LV,1.0,10,3,5,62,0.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
8239,LV,2.0,18,3,5,70,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
8240,LV,3.0,18,3,5,70,0.0,pass,0,,,0,1,1,D.Carr,6.0,0,D.Waller,6.0,0,0
8241,CHI,1.0,10,3,5,83,0.0,run,1,D.Williams,6.0,0,0,0,,,0,,,0,0
8242,CHI,2.0,4,3,5,77,0.0,pass,0,,,0,1,1,J.Fields,9.0,0,A.Robinson,9.0,1,0
8243,CHI,1.0,10,3,5,68,0.0,run,1,K.Herbert,2.0,0,0,0,,,0,,,0,0
8244,CHI,2.0,8,3,5,66,0.0,pass,0,,,0,1,1,J.Fields,7.0,0,D.Mooney,7.0,0,0
8245,CHI,3.0,1,3,5,59,0.0,run,1,D.Williams,0.0,0,0,0,,,0,,,0,0
8246,LV,1.0,10,3,5,74,1.0,run,1,J.Jacobs,4.0,0,0,0,,,0,,,0,0
8247,LV,2.0,6,3,5,70,1.0,pass,0,,,0,1,1,D.Carr,18.0,0,H.Ruggs,18.0,1,0
8248,LV,1.0,10,3,5,52,1.0,pass,0,,,0,1,1,D.Carr,3.0,0,D.Waller,3.0,0,0
8249,LV,2.0,7,3,5,49,1.0,pass,0,,,0,1,1,D.Carr,2.0,0,J.Jacobs,2.0,0,0
8250,LV,3.0,1,4,5,43,1.0,run,1,D.Carr,2.0,0,0,0,,,0,,,1,0
8251,LV,1.0,10,4,5,41,1.0,run,1,J.Jacobs,7.0,0,0,0,,,0,,,0,0
8252,LV,2.0,3,4,5,34,1.0,run,1,J.Jacobs,1.0,0,0,0,,,0,,,0,0
8253,LV,3.0,2,4,5,33,1.0,run,1,,1.0,0,0,0,,,0,,,0,0
8254,LV,4.0,1,4,5,32,1.0,run,1,N.Peterman,1.0,0,0,0,,,0,,,1,0
8255,LV,1.0,10,4,5,31,1.0,pass,0,,,0,1,1,D.Carr,4.0,0,H.Ruggs,4.0,0,0
8256,LV,2.0,6,4,5,27,1.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,1,0
8257,LV,1.0,10,4,5,13,1.0,pass,0,,,0,1,1,D.Carr,6.0,0,H.Renfrow,6.0,0,0
8258,LV,2.0,4,4,5,7,1.0,run,1,J.Jacobs,1.0,0,0,0,,,0,,,0,0
8259,LV,3.0,3,4,5,6,1.0,pass,0,,,0,1,1,D.Carr,3.0,0,W.Snead,3.0,1,0
8260,LV,1.0,3,4,5,3,1.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
8261,LV,1.0,1,4,5,1,1.0,run,1,J.Jacobs,1.0,1,0,0,,,0,,,1,1
8262,LV,,0,4,5,2,1.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
8263,CHI,1.0,10,4,5,71,0.0,run,1,K.Herbert,7.0,0,0,0,,,0,,,0,0
8264,CHI,2.0,13,4,5,74,0.0,run,1,K.Herbert,1.0,0,0,0,,,0,,,0,0
8265,CHI,3.0,12,4,5,73,0.0,pass,0,,,0,1,1,J.Fields,13.0,0,D.Mooney,13.0,1,0
8266,CHI,1.0,10,4,5,60,0.0,pass,0,,,0,1,1,J.Fields,14.0,0,C.Kmet,14.0,1,0
8267,CHI,1.0,10,4,5,46,0.0,run,1,D.Williams,6.0,0,0,0,,,0,,,0,0
8268,CHI,2.0,4,4,5,40,0.0,run,1,K.Herbert,6.0,0,0,0,,,0,,,1,0
8269,CHI,1.0,10,4,5,34,0.0,run,1,K.Herbert,5.0,0,0,0,,,0,,,0,0
8270,CHI,2.0,5,4,5,29,0.0,run,1,K.Herbert,0.0,0,0,0,,,0,,,0,0
8271,CHI,3.0,5,4,5,29,0.0,run,1,J.Fields,1.0,0,0,0,,,0,,,0,0
8272,LV,1.0,10,4,5,75,0.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
8273,LV,2.0,12,4,5,77,0.0,pass,0,,,0,1,0,D.Carr,,0,H.Renfrow,,0,0
8274,LV,3.0,17,4,5,82,0.0,pass,0,,,0,1,1,D.Carr,12.0,0,H.Renfrow,12.0,0,0
8275,LV,4.0,5,4,5,70,0.0,pass,0,,,0,1,0,D.Carr,,0,B.Edwards,,0,0
8276,CHI,1.0,10,4,5,30,0.0,run,1,K.Herbert,0.0,0,0,0,,,0,,,0,0
8277,CHI,2.0,10,4,5,30,0.0,run,1,K.Herbert,1.0,0,0,0,,,0,,,0,0
8278,CHI,3.0,9,4,5,29,0.0,run,1,D.Williams,1.0,0,0,0,,,0,,,0,0
8279,LV,1.0,10,4,5,81,0.0,pass,0,,,0,1,1,D.Carr,7.0,0,D.Waller,7.0,0,0
8280,LV,2.0,3,4,5,74,0.0,pass,0,,,0,1,1,D.Carr,10.0,0,B.Edwards,10.0,1,0
8281,LV,1.0,20,4,5,74,0.0,run,1,,8.0,0,0,0,D.Carr,,0,,,0,0
8282,LAC,1.0,10,1,5,75,0.0,pass,0,,,0,1,1,J.Herbert,4.0,0,K.Allen,4.0,0,0
8283,LAC,2.0,6,1,5,71,0.0,pass,0,,,0,1,0,J.Herbert,,0,M.Williams,,0,0
8284,LAC,3.0,6,1,5,71,0.0,pass,0,,,0,1,0,J.Herbert,,0,J.Guyton,,0,0
8285,CLE,1.0,10,1,5,92,1.0,pass,0,,,0,1,1,B.Mayfield,9.0,0,D.Njoku,9.0,0,0
8286,CLE,2.0,1,1,5,83,1.0,run,1,N.Chubb,20.0,0,0,0,,,0,,,1,0
8287,CLE,1.0,10,1,5,63,1.0,run,1,N.Chubb,13.0,0,0,0,,,0,,,1,0
8288,CLE,1.0,10,1,5,50,1.0,run,1,N.Chubb,-1.0,0,0,0,,,0,,,0,0
8289,CLE,2.0,11,1,5,51,1.0,pass,0,,,0,1,1,B.Mayfield,22.0,0,D.Njoku,22.0,1,0
8290,CLE,1.0,10,1,5,29,1.0,run,1,K.Hunt,12.0,0,0,0,,,0,,,1,0
8291,CLE,1.0,10,1,5,17,1.0,run,1,K.Hunt,0.0,0,0,0,,,0,,,0,0
8292,CLE,2.0,10,1,5,17,1.0,pass,0,,,0,1,0,B.Mayfield,,0,,,0,0
8293,CLE,3.0,14,1,5,21,1.0,run,1,K.Hunt,9.0,0,0,0,,,0,,,0,0
8294,LAC,1.0,10,1,5,85,0.0,run,1,A.Ekeler,2.0,0,0,0,,,0,,,0,0
8295,LAC,2.0,8,1,5,83,0.0,run,1,A.Ekeler,8.0,0,0,0,,,0,,,1,0
8296,LAC,1.0,10,1,5,75,0.0,pass,0,,,0,1,1,J.Herbert,18.0,0,A.Ekeler,18.0,1,0
8297,LAC,1.0,10,1,5,57,0.0,pass,0,,,0,1,1,J.Herbert,6.0,0,M.Williams,6.0,0,0
8298,LAC,2.0,4,1,5,51,0.0,pass,0,,,0,1,1,J.Herbert,8.0,0,M.Williams,8.0,1,0
8299,LAC,1.0,10,1,5,43,0.0,run,1,,11.0,0,0,0,J.Herbert,,0,,,1,0
8300,LAC,1.0,10,1,5,32,0.0,pass,0,,,0,1,0,J.Herbert,,0,J.Palmer,,0,0
8301,LAC,2.0,10,1,5,32,0.0,run,1,A.Ekeler,2.0,0,0,0,,,0,,,0,0
8302,LAC,1.0,10,1,5,25,0.0,run,1,J.Kelley,3.0,0,0,0,,,0,,,0,0
8303,LAC,2.0,7,1,5,22,0.0,pass,0,,,0,1,1,J.Herbert,22.0,1,D.Parham,22.0,1,1
8304,CLE,1.0,10,1,5,72,1.0,pass,0,,,0,1,1,B.Mayfield,31.0,0,D.Njoku,31.0,1,0
8305,CLE,1.0,10,1,5,41,1.0,run,1,N.Chubb,7.0,0,0,0,,,0,,,0,0
8306,CLE,2.0,3,1,5,34,1.0,run,1,N.Chubb,5.0,0,0,0,,,0,,,1,0
8307,CLE,1.0,10,1,5,29,1.0,pass,0,,,0,1,1,B.Mayfield,12.0,0,D.Peoples-Jones,12.0,1,0
8308,CLE,1.0,10,2,5,17,1.0,run,1,N.Chubb,5.0,0,0,0,,,0,,,0,0
8309,CLE,2.0,5,2,5,12,1.0,run,1,N.Chubb,-5.0,0,0,0,,,0,,,0,0
8310,CLE,1.0,8,2,5,8,1.0,run,1,N.Chubb,1.0,0,0,0,,,0,,,0,0
8311,CLE,2.0,7,2,5,7,1.0,pass,0,,,0,1,1,B.Mayfield,7.0,1,R.Higgins,7.0,1,1
8312,LAC,1.0,10,2,5,82,0.0,run,1,,10.0,0,0,0,J.Herbert,,0,,,1,0
8313,LAC,1.0,10,2,5,72,0.0,pass,0,,,0,1,0,J.Herbert,,0,M.Williams,,0,0
8314,LAC,2.0,10,2,5,72,0.0,pass,0,,,0,1,0,J.Herbert,,0,K.Allen,,0,0
8315,LAC,3.0,10,2,5,72,0.0,pass,0,,,0,1,1,J.Herbert,72.0,1,M.Williams,72.0,1,1
8316,CLE,1.0,10,2,5,80,1.0,pass,0,,,0,1,1,B.Mayfield,42.0,0,D.Peoples-Jones,42.0,1,0
8317,CLE,1.0,10,2,5,38,1.0,run,1,K.Hunt,8.0,0,0,0,,,0,,,1,0
8318,CLE,1.0,10,2,5,25,1.0,pass,0,,,0,1,1,B.Mayfield,1.0,0,D.Njoku,1.0,0,0
8319,CLE,2.0,9,2,5,24,1.0,pass,0,,,0,1,1,B.Mayfield,2.0,0,D.Peoples-Jones,2.0,0,0
8320,CLE,3.0,7,2,5,22,1.0,pass,0,,,0,1,1,B.Mayfield,5.0,0,D.Njoku,5.0,0,0
8321,CLE,4.0,2,2,5,17,1.0,pass,0,,,0,1,0,B.Mayfield,,0,O.Beckham,,0,0
8322,LAC,1.0,10,2,5,83,0.0,run,1,A.Ekeler,5.0,0,0,0,,,0,,,0,0
8323,LAC,2.0,5,2,5,78,0.0,pass,0,,,0,1,0,J.Herbert,,0,M.Williams,,0,0
8324,LAC,3.0,10,2,5,83,0.0,pass,0,,,0,1,0,J.Herbert,,0,,,0,0
8325,CLE,1.0,10,2,5,53,1.0,run,1,N.Chubb,6.0,0,0,0,,,0,,,0,0
8326,CLE,2.0,4,2,5,47,1.0,run,1,N.Chubb,2.0,0,0,0,,,0,,,0,0
8327,CLE,3.0,2,2,5,45,1.0,run,1,N.Chubb,6.0,0,0,0,,,0,,,1,0
8328,CLE,1.0,10,2,5,39,1.0,run,1,N.Chubb,-1.0,0,0,0,,,0,,,0,0
8329,CLE,2.0,11,2,5,40,1.0,run,1,,7.0,0,0,0,B.Mayfield,,0,,,0,0
8330,CLE,3.0,4,2,5,33,1.0,run,1,K.Hunt,5.0,0,0,0,,,0,,,1,0
8331,CLE,1.0,10,2,5,28,1.0,pass,0,,,0,1,1,B.Mayfield,16.0,0,R.Higgins,16.0,1,0
8332,CLE,1.0,10,2,5,12,1.0,run,1,N.Chubb,8.0,0,0,0,,,0,,,0,0
8333,CLE,2.0,2,2,5,4,1.0,run,1,N.Chubb,1.0,0,0,0,,,0,,,0,0
8334,CLE,3.0,1,2,5,3,1.0,run,1,N.Chubb,0.0,0,0,0,,,0,,,0,0
8335,CLE,4.0,1,2,5,3,1.0,run,1,K.Hunt,3.0,1,0,0,,,0,,,1,1
8336,LAC,1.0,10,2,5,85,0.0,pass,0,,,0,1,1,J.Herbert,7.0,0,A.Ekeler,7.0,0,0
8337,CLE,1.0,10,2,5,22,1.0,pass,0,,,0,1,1,B.Mayfield,9.0,0,N.Chubb,9.0,0,0
8338,CLE,2.0,1,2,5,13,1.0,pass,0,,,0,1,0,B.Mayfield,,0,,,0,0
8339,CLE,3.0,1,2,5,13,1.0,pass,0,,,0,1,0,B.Mayfield,,0,K.Hunt,,0,0
8340,CLE,1.0,10,3,5,75,0.0,run,1,N.Chubb,3.0,0,0,0,,,0,,,0,0
8341,CLE,2.0,7,3,5,72,0.0,pass,0,,,0,1,1,B.Mayfield,6.0,0,D.Peoples-Jones,6.0,0,0
8342,CLE,3.0,1,3,5,66,0.0,pass,0,,,0,1,1,B.Mayfield,8.0,0,D.Peoples-Jones,8.0,1,0
8343,CLE,1.0,10,3,5,58,0.0,run,1,N.Chubb,6.0,0,0,0,,,0,,,0,0
8344,CLE,2.0,4,3,5,52,0.0,run,1,N.Chubb,52.0,1,0,0,,,0,,,1,1
8345,LAC,1.0,10,3,5,84,1.0,run,1,A.Ekeler,2.0,0,0,0,,,0,,,0,0
8346,LAC,2.0,8,3,5,82,1.0,pass,0,,,0,1,1,J.Herbert,-1.0,0,K.Allen,-1.0,0,0
8347,LAC,3.0,9,3,5,83,1.0,pass,0,,,0,1,1,J.Herbert,7.0,0,D.Parham,7.0,0,0
8348,LAC,4.0,2,3,5,76,1.0,run,1,A.Ekeler,9.0,0,0,0,,,0,,,1,0
8349,LAC,1.0,10,3,5,67,1.0,pass,0,,,0,1,1,J.Herbert,7.0,0,M.Williams,7.0,0,0
8350,LAC,2.0,3,3,5,60,1.0,run,1,J.Kelley,14.0,0,0,0,,,0,,,1,0
8351,LAC,1.0,10,3,5,41,1.0,pass,0,,,0,1,0,J.Herbert,,0,,,0,0
8352,LAC,2.0,10,3,5,41,1.0,pass,0,,,0,1,1,J.Herbert,7.0,0,J.Palmer,7.0,0,0
8353,LAC,1.0,10,3,5,25,1.0,run,1,A.Ekeler,3.0,0,0,0,,,0,,,0,0
8354,LAC,2.0,7,3,5,22,1.0,pass,0,,,0,1,0,J.Herbert,,0,M.Williams,,0,0
8355,LAC,3.0,7,3,5,22,1.0,pass,0,,,0,1,0,J.Herbert,,0,K.Allen,,0,0
8356,LAC,4.0,7,3,5,22,1.0,pass,0,,,0,1,1,J.Herbert,12.0,0,K.Allen,12.0,1,0
8357,LAC,1.0,10,3,5,10,1.0,run,1,A.Ekeler,1.0,0,0,0,,,0,,,0,0
8358,LAC,2.0,9,3,5,9,1.0,run,1,,9.0,1,0,0,J.Herbert,,0,,,1,1
8359,LAC,,0,3,5,2,1.0,pass,0,,,0,1,0,J.Herbert,,0,D.Parham,,0,0
8360,CLE,1.0,10,3,5,73,0.0,run,1,K.Hunt,4.0,0,0,0,,,0,,,0,0
8361,CLE,2.0,6,3,5,69,0.0,pass,0,,,0,1,1,B.Mayfield,13.0,0,O.Beckham,13.0,1,0
8362,CLE,1.0,20,3,5,66,0.0,run,1,K.Hunt,1.0,0,0,0,,,0,,,0,0
8363,CLE,2.0,19,3,5,65,0.0,run,1,,1.0,0,0,0,B.Mayfield,,0,,,0,0
8364,CLE,3.0,18,3,5,64,0.0,pass,0,,,0,1,1,B.Mayfield,11.0,0,K.Hunt,11.0,0,0
8365,LAC,1.0,10,3,5,80,0.0,pass,0,,,0,1,1,J.Herbert,7.0,0,M.Williams,7.0,0,0
8366,LAC,2.0,3,3,5,73,0.0,run,1,A.Ekeler,2.0,0,0,0,,,0,,,0,0
