,play_type,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,rush_attempt,rusher,rushing_yards,first_down,rush_touchdown
7749,run,TEN,2.0,3,1,4,50,1.0,1,D.Henry,4.0,1,0
7753,run,TEN,1.0,10,1,4,30,1.0,1,D.Henry,0.0,0,0
7755,run,TEN,3.0,1,1,4,21,1.0,1,R.Tannehill,2.0,1,0
7757,run,TEN,2.0,10,1,4,19,1.0,1,D.Henry,2.0,0,0
7760,run,NYJ,2.0,1,1,4,66,0.0,1,Mi.Carter,4.0,1,0
7763,run,NYJ,3.0,14,1,4,66,0.0,1,T.Johnson,1.0,0,0
7764,run,TEN,1.0,10,1,4,84,1.0,1,D.Henry,2.0,0,0
7765,run,TEN,2.0,8,1,4,82,1.0,1,D.Henry,4.0,0,0
7768,run,TEN,1.0,10,1,4,53,1.0,1,D.Henry,16.0,1,0
7769,run,TEN,1.0,10,1,4,37,1.0,1,D.Henry,1.0,0,0
7771,run,TEN,1.0,10,2,4,20,1.0,1,D.Henry,7.0,0,0
7772,run,TEN,2.0,3,2,4,13,1.0,1,D.Henry,2.0,0,0
7773,run,TEN,3.0,1,2,4,11,1.0,1,A.Brewer,0.0,0,0
7774,run,NYJ,1.0,10,2,4,75,0.0,1,Mi.Carter,2.0,0,0
7777,run,TEN,1.0,10,2,4,14,1.0,1,D.Henry,4.0,0,0
7785,run,NYJ,2.0,2,2,4,24,1.0,1,Mi.Carter,-2.0,0,0
7787,run,NYJ,1.0,10,2,4,20,1.0,1,B.Berrios,9.0,0,0
7789,run,NYJ,1.0,8,2,4,8,1.0,1,Mi.Carter,6.0,0,0
7790,run,NYJ,2.0,2,2,4,2,1.0,1,Mi.Carter,2.0,1,1
7791,run,TEN,1.0,10,2,4,75,0.0,1,D.Henry,3.0,0,0
7792,run,TEN,2.0,7,2,4,72,0.0,1,D.Henry,5.0,0,0
7794,run,NYJ,1.0,10,2,4,45,0.0,1,T.Coleman,5.0,0,0
7795,run,NYJ,2.0,5,2,4,40,0.0,1,T.Coleman,-1.0,0,0
7804,run,TEN,1.0,10,3,4,75,0.0,1,D.Henry,2.0,0,0
7805,run,TEN,2.0,8,3,4,73,0.0,1,D.Henry,3.0,0,0
7807,run,TEN,1.0,10,3,4,61,0.0,1,D.Henry,1.0,0,0
7810,run,NYJ,1.0,10,3,4,80,0.0,1,Mi.Carter,5.0,0,0
7811,run,NYJ,2.0,5,3,4,75,0.0,1,Mi.Carter,-2.0,0,0
7813,run,TEN,1.0,10,3,4,81,0.0,1,D.Henry,2.0,0,0
7816,run,TEN,2.0,1,3,4,52,0.0,1,D.Henry,11.0,1,0
7817,run,TEN,1.0,10,3,4,41,0.0,1,D.Henry,2.0,1,0
7819,run,TEN,2.0,10,3,4,34,0.0,1,D.Henry,3.0,0,0
7823,run,NYJ,2.0,4,3,4,66,1.0,1,T.Johnson,-2.0,0,0
7829,run,TEN,1.0,10,4,4,61,1.0,1,D.Henry,18.0,1,0
7830,run,TEN,1.0,10,4,4,43,1.0,1,D.Henry,9.0,0,0
7831,run,TEN,2.0,1,4,4,34,1.0,1,J.McNichols,11.0,1,0
7832,run,TEN,1.0,10,4,4,23,1.0,1,D.Henry,22.0,1,0
7833,run,TEN,1.0,1,4,4,1,1.0,1,D.Henry,1.0,1,1
7837,run,NYJ,1.0,5,4,4,5,1.0,1,T.Johnson,2.0,0,0
7839,run,TEN,1.0,10,4,4,75,0.0,1,D.Henry,2.0,0,0
7840,run,TEN,2.0,8,4,4,73,0.0,1,D.Henry,2.0,0,0
7848,run,NYJ,3.0,6,4,4,62,0.0,1,,2.0,0,0
7849,run,TEN,1.0,10,4,4,65,0.0,1,D.Henry,7.0,0,0
7851,run,TEN,1.0,10,4,4,40,0.0,1,D.Henry,5.0,0,0
7854,run,TEN,1.0,10,4,4,26,0.0,1,D.Henry,5.0,0,0
7855,run,TEN,2.0,5,4,4,21,0.0,1,D.Henry,1.0,0,0
7858,run,NYJ,1.0,10,4,4,79,0.0,1,B.Berrios,6.0,0,0
7859,run,NYJ,2.0,4,4,4,73,0.0,1,Mi.Carter,13.0,1,0
7860,run,NYJ,1.0,10,4,4,60,0.0,1,Mi.Carter,0.0,0,0
7863,run,TEN,1.0,10,4,4,74,1.0,1,D.Henry,0.0,0,0
7876,run,NYJ,3.0,1,5,4,66,1.0,1,T.Coleman,2.0,1,0
7878,run,NYJ,2.0,10,5,4,64,1.0,1,T.Coleman,8.0,0,0
7880,run,NYJ,1.0,10,5,4,27,1.0,1,Mi.Carter,5.0,0,0
7881,run,NYJ,2.0,5,5,4,22,1.0,1,Mi.Carter,2.0,0,0
7885,run,NYJ,3.0,1,5,4,1,1.0,1,Z.Wilson,-3.0,0,0
7886,run,TEN,1.0,10,5,4,75,0.0,1,D.Henry,-4.0,0,0
7889,run,TEN,4.0,1,5,4,66,0.0,1,D.Henry,13.0,1,0
7893,run,TEN,4.0,2,5,4,45,0.0,1,D.Henry,2.0,1,0
7898,run,ATL,1.0,10,1,4,75,1.0,1,C.Patterson,5.0,0,0
7900,run,ATL,3.0,1,1,4,66,1.0,1,K.Smith,2.0,1,0
7901,run,ATL,1.0,10,1,4,64,1.0,1,M.Davis,2.0,0,0
7903,run,ATL,1.0,10,1,4,49,1.0,1,M.Davis,8.0,0,0
7904,run,ATL,2.0,2,1,4,41,1.0,1,M.Davis,2.0,1,0
7906,run,ATL,1.0,10,1,4,24,1.0,1,F.Franks,3.0,0,0
7909,run,ATL,1.0,9,1,4,9,1.0,1,M.Davis,2.0,0,0
7912,run,WAS,1.0,10,1,4,67,0.0,1,A.Gibson,7.0,0,0
7915,run,WAS,1.0,10,1,4,56,0.0,1,A.Gibson,4.0,0,0
7918,run,ATL,1.0,10,1,4,86,0.0,1,C.Patterson,4.0,0,0
7921,run,ATL,2.0,10,1,4,72,0.0,1,M.Davis,-3.0,0,0
7923,run,WAS,1.0,10,1,4,71,0.0,1,A.Gibson,6.0,0,0
7926,run,WAS,2.0,1,1,4,50,0.0,1,A.Gibson,5.0,1,0
7928,run,WAS,2.0,10,2,4,45,0.0,1,J.McKissic,3.0,0,0
7929,run,WAS,3.0,7,2,4,42,0.0,1,,6.0,0,0
7930,run,WAS,4.0,1,2,4,36,0.0,1,A.Gibson,0.0,0,0
7932,run,ATL,2.0,5,2,4,59,0.0,1,W.Gallman,10.0,1,0
7939,run,WAS,1.0,10,2,4,35,0.0,1,A.Gibson,2.0,0,0
7945,run,WAS,1.0,10,2,4,63,1.0,1,,8.0,0,0
7946,run,WAS,2.0,2,2,4,55,1.0,1,A.Gibson,6.0,1,0
7947,run,WAS,1.0,5,2,4,44,1.0,1,A.Gibson,6.0,1,0
7948,run,WAS,1.0,10,2,4,38,1.0,1,J.Patterson,-2.0,0,0
7950,run,WAS,1.0,10,2,4,24,1.0,1,,20.0,1,0
7951,run,WAS,1.0,2,2,4,2,1.0,1,A.Gibson,2.0,1,1
7952,run,ATL,1.0,10,2,4,75,1.0,1,C.Patterson,2.0,0,0
7954,run,ATL,1.0,10,2,4,45,1.0,1,C.Patterson,5.0,0,0
7957,run,ATL,1.0,10,2,4,32,1.0,1,M.Davis,-3.0,0,0
7963,run,ATL,1.0,10,3,4,68,1.0,1,M.Davis,1.0,0,0
7965,run,ATL,1.0,10,3,4,25,1.0,1,M.Davis,2.0,0,0
7968,run,ATL,1.0,10,3,4,11,1.0,1,M.Davis,-3.0,0,0
7975,run,WAS,2.0,10,3,4,44,1.0,1,A.Gibson,5.0,0,0
7978,run,WAS,1.0,10,3,4,29,1.0,1,A.Gibson,6.0,0,0
7979,run,WAS,2.0,4,3,4,23,1.0,1,A.Gibson,8.0,1,0
7981,run,WAS,2.0,10,3,4,15,1.0,1,J.McKissic,10.0,1,0
7982,run,WAS,1.0,5,3,4,5,1.0,1,J.McKissic,2.0,0,0
7983,run,WAS,2.0,3,3,4,3,1.0,1,J.McKissic,1.0,0,0
7986,run,ATL,2.0,10,3,4,83,1.0,1,W.Gallman,3.0,0,0
7988,run,ATL,1.0,10,3,4,66,1.0,1,M.Davis,3.0,0,0
7994,run,ATL,1.0,10,3,4,27,1.0,1,C.Patterson,13.0,1,0
7995,run,ATL,1.0,10,3,4,14,1.0,1,C.Patterson,5.0,0,0
7996,run,ATL,2.0,5,3,4,9,1.0,1,M.Davis,2.0,0,0
7999,run,WAS,2.0,8,4,4,73,0.0,1,A.Gibson,5.0,0,0
8001,run,ATL,1.0,10,4,4,71,0.0,1,W.Gallman,0.0,0,0
8002,run,ATL,2.0,10,4,4,71,0.0,1,W.Gallman,13.0,1,0
8003,run,ATL,1.0,10,4,4,58,0.0,1,W.Gallman,1.0,0,0
8004,run,ATL,2.0,9,4,4,57,0.0,1,W.Gallman,2.0,0,0
8006,run,WAS,1.0,15,4,4,75,1.0,1,A.Gibson,1.0,0,0
8008,run,WAS,1.0,10,4,4,58,1.0,1,J.Patterson,3.0,0,0
8009,run,WAS,2.0,7,4,4,55,1.0,1,,10.0,1,0
8010,run,WAS,1.0,15,4,4,50,1.0,1,J.McKissic,-1.0,0,0
8013,run,WAS,2.0,10,4,4,28,1.0,1,J.McKissic,1.0,0,0
8017,run,ATL,1.0,10,4,4,75,0.0,1,M.Davis,-3.0,0,0
8018,run,ATL,2.0,13,4,4,78,0.0,1,M.Davis,4.0,0,0
8025,run,WAS,2.0,6,4,4,29,0.0,1,J.McKissic,-1.0,0,0
8027,run,WAS,,0,4,4,2,0.0,1,J.McKissic,,0,0
8030,run,ATL,2.0,10,4,4,54,0.0,1,,17.0,1,0
8032,run,KC,1.0,10,1,5,75,1.0,1,C.Edwards-Helaire,4.0,0,0
8033,run,KC,2.0,6,1,5,71,1.0,1,J.McKinnon,2.0,0,0
8037,run,KC,3.0,10,1,5,57,1.0,1,,10.0,1,0
8039,run,KC,2.0,10,1,5,47,1.0,1,Da.Williams,5.0,0,0
8040,run,KC,3.0,1,1,5,38,1.0,1,M.Burton,2.0,1,0
8041,run,KC,1.0,10,1,5,36,1.0,1,,3.0,0,0
8043,run,KC,1.0,10,1,5,28,1.0,1,T.Hill,15.0,0,0
8045,run,KC,1.0,10,1,5,17,1.0,1,,3.0,0,0
8048,run,BUF,1.0,10,1,5,75,1.0,1,D.Singletary,0.0,0,0
8049,run,BUF,2.0,10,1,5,75,1.0,1,D.Singletary,8.0,0,0
8050,run,BUF,3.0,2,1,5,67,1.0,1,J.Allen,22.0,1,0
8052,run,BUF,1.0,10,1,5,22,1.0,1,Z.Moss,2.0,0,0
8053,run,BUF,2.0,8,1,5,20,1.0,1,,11.0,1,0
8055,run,BUF,2.0,9,1,5,9,1.0,1,J.Allen,9.0,1,1
8057,run,BUF,2.0,10,1,5,34,0.0,1,D.Singletary,9.0,0,0
8059,run,KC,1.0,10,1,5,80,1.0,1,C.Edwards-Helaire,6.0,0,0
8060,run,KC,2.0,4,1,5,74,1.0,1,,4.0,1,0
8062,run,KC,1.0,10,1,5,55,1.0,1,C.Edwards-Helaire,1.0,0,0
8063,run,KC,2.0,14,2,5,59,1.0,1,Da.Williams,9.0,0,0
8068,run,KC,2.0,2,2,5,10,1.0,1,C.Edwards-Helaire,5.0,1,0
8072,run,BUF,2.0,10,2,5,75,0.0,1,Z.Moss,8.0,0,0
8076,run,KC,1.0,10,2,5,72,0.0,1,C.Edwards-Helaire,0.0,0,0
8078,run,KC,3.0,2,2,5,64,0.0,1,Da.Williams,-1.0,0,0
8080,run,BUF,2.0,10,2,5,74,1.0,1,D.Singletary,2.0,0,0
8082,run,BUF,1.0,10,2,5,11,1.0,1,J.Allen,-1.0,0,0
8085,run,KC,1.0,10,2,5,60,0.0,1,,23.0,1,0
8093,run,KC,2.0,4,2,5,69,0.0,1,,9.0,1,0
8099,run,BUF,1.0,10,3,5,75,0.0,1,D.Singletary,3.0,0,0
8100,run,BUF,2.0,7,3,5,72,0.0,1,,5.0,0,0
8102,run,KC,1.0,10,3,5,78,0.0,1,C.Edwards-Helaire,-1.0,0,0
8105,run,KC,2.0,2,3,5,59,0.0,1,C.Edwards-Helaire,-2.0,0,0
8108,run,BUF,1.0,10,3,5,40,0.0,1,Z.Moss,-1.0,0,0
8120,run,KC,1.0,10,3,5,42,1.0,1,Da.Williams,9.0,0,0
8125,run,BUF,1.0,10,3,5,83,0.0,1,Z.Moss,0.0,0,0
8126,run,BUF,2.0,10,3,5,83,0.0,1,J.Allen,0.0,0,0
8133,run,KC,3.0,1,4,5,6,1.0,1,Da.Williams,5.0,1,0
8135,run,BUF,1.0,10,4,5,85,1.0,1,D.Singletary,3.0,0,0
8138,run,BUF,1.0,10,4,5,66,1.0,1,Z.Moss,1.0,0,0
8140,run,BUF,3.0,4,4,5,60,1.0,1,,4.0,1,0
8144,run,BUF,1.0,10,4,5,24,1.0,1,,12.0,1,0
8145,run,BUF,1.0,10,4,5,12,1.0,1,Z.Moss,4.0,0,0
8151,run,KC,2.0,6,4,5,59,1.0,1,,9.0,1,0
8156,run,KC,2.0,10,4,5,15,1.0,1,P.Mahomes,0.0,0,0
8157,run,BUF,1.0,10,4,5,65,0.0,1,Z.Moss,6.0,0,0
8158,run,BUF,2.0,4,4,5,59,0.0,1,Z.Moss,6.0,1,0
8159,run,BUF,1.0,10,4,5,53,0.0,1,Z.Moss,0.0,0,0
8160,run,BUF,2.0,10,4,5,53,0.0,1,Z.Moss,8.0,0,0
8161,run,BUF,3.0,2,4,5,45,0.0,1,Z.Moss,3.0,1,0
8162,run,CHI,1.0,10,1,5,72,0.0,1,D.Williams,6.0,0,0
8163,run,CHI,2.0,9,1,5,71,0.0,1,D.Williams,1.0,0,0
8165,run,LV,1.0,10,1,5,73,0.0,1,J.Jacobs,0.0,0,0
8168,run,CHI,1.0,10,1,5,81,0.0,1,D.Williams,1.0,0,0
8170,run,CHI,3.0,4,1,5,75,0.0,1,J.Fields,3.0,0,0
8172,run,LV,1.0,10,1,5,69,1.0,1,J.Jacobs,3.0,0,0
8176,run,LV,2.0,1,1,5,30,1.0,1,J.Jacobs,11.0,1,0
8178,run,LV,2.0,10,1,5,19,1.0,1,K.Drake,3.0,0,0
8179,run,LV,3.0,7,1,5,16,1.0,1,K.Drake,8.0,1,0
8180,run,LV,1.0,8,1,5,8,1.0,1,J.Jacobs,6.0,0,0
8183,run,CHI,1.0,10,1,5,72,1.0,1,J.Fields,0.0,0,0
8186,run,CHI,1.0,10,1,5,47,1.0,1,D.Williams,5.0,0,0
8187,run,CHI,2.0,5,1,5,42,1.0,1,K.Herbert,11.0,1,0
8189,run,CHI,2.0,3,1,5,24,1.0,1,D.Williams,14.0,1,0
8190,run,CHI,1.0,5,2,5,5,1.0,1,D.Williams,0.0,0,0
8191,run,CHI,1.0,2,2,5,2,1.0,1,D.Williams,0.0,0,0
8195,run,LV,2.0,6,2,5,32,0.0,1,J.Jacobs,5.0,0,0
8196,run,LV,3.0,1,2,5,27,0.0,1,D.Carr,0.0,0,0
8197,run,LV,4.0,1,2,5,27,0.0,1,J.Jacobs,0.0,0,0
8198,run,CHI,1.0,10,2,5,86,1.0,1,K.Herbert,6.0,0,0
8200,run,CHI,3.0,2,2,5,78,1.0,1,D.Williams,8.0,1,0
8202,run,CHI,2.0,10,2,5,70,1.0,1,D.Williams,9.0,0,0
8205,run,CHI,2.0,10,2,5,46,1.0,1,K.Herbert,3.0,0,0
8207,run,CHI,1.0,10,2,5,35,1.0,1,D.Williams,3.0,0,0
8210,run,CHI,1.0,10,2,5,20,1.0,1,K.Herbert,9.0,0,0
8211,run,CHI,2.0,1,2,5,11,1.0,1,K.Herbert,7.0,1,0
8212,run,CHI,1.0,4,2,5,4,1.0,1,K.Herbert,0.0,0,0
8213,run,CHI,2.0,4,2,5,4,1.0,1,D.Williams,4.0,1,1
8219,run,CHI,3.0,2,2,5,52,0.0,1,K.Herbert,8.0,1,0
8222,run,LV,2.0,1,3,5,66,0.0,1,J.Jacobs,-1.0,0,0
8224,run,CHI,1.0,10,3,5,82,0.0,1,K.Herbert,8.0,0,0
8225,run,CHI,2.0,2,3,5,74,0.0,1,K.Herbert,1.0,0,0
8226,run,CHI,3.0,1,3,5,73,0.0,1,D.Williams,0.0,0,0
8231,run,CHI,2.0,10,3,5,55,0.0,1,K.Herbert,0.0,0,0
8233,run,LV,1.0,10,3,5,89,0.0,1,J.Jacobs,5.0,0,0
8237,run,LV,2.0,5,3,5,67,0.0,1,J.Jacobs,5.0,1,0
8241,run,CHI,1.0,10,3,5,83,0.0,1,D.Williams,6.0,0,0
8243,run,CHI,1.0,10,3,5,68,0.0,1,K.Herbert,2.0,0,0
8245,run,CHI,3.0,1,3,5,59,0.0,1,D.Williams,0.0,0,0
8246,run,LV,1.0,10,3,5,74,1.0,1,J.Jacobs,4.0,0,0
8250,run,LV,3.0,1,4,5,43,1.0,1,D.Carr,2.0,1,0
8251,run,LV,1.0,10,4,5,41,1.0,1,J.Jacobs,7.0,0,0
8252,run,LV,2.0,3,4,5,34,1.0,1,J.Jacobs,1.0,0,0
8253,run,LV,3.0,2,4,5,33,1.0,1,,1.0,0,0
8254,run,LV,4.0,1,4,5,32,1.0,1,N.Peterman,1.0,1,0
8256,run,LV,2.0,6,4,5,27,1.0,1,J.Jacobs,0.0,1,0
8258,run,LV,2.0,4,4,5,7,1.0,1,J.Jacobs,1.0,0,0
8261,run,LV,1.0,1,4,5,1,1.0,1,J.Jacobs,1.0,1,1
8263,run,CHI,1.0,10,4,5,71,0.0,1,K.Herbert,7.0,0,0
8264,run,CHI,2.0,13,4,5,74,0.0,1,K.Herbert,1.0,0,0
8267,run,CHI,1.0,10,4,5,46,0.0,1,D.Williams,6.0,0,0
8268,run,CHI,2.0,4,4,5,40,0.0,1,K.Herbert,6.0,1,0
8269,run,CHI,1.0,10,4,5,34,0.0,1,K.Herbert,5.0,0,0
8270,run,CHI,2.0,5,4,5,29,0.0,1,K.Herbert,0.0,0,0
8271,run,CHI,3.0,5,4,5,29,0.0,1,J.Fields,1.0,0,0
8276,run,CHI,1.0,10,4,5,30,0.0,1,K.Herbert,0.0,0,0
8277,run,CHI,2.0,10,4,5,30,0.0,1,K.Herbert,1.0,0,0
8278,run,CHI,3.0,9,4,5,29,0.0,1,D.Williams,1.0,0,0
8281,run,LV,1.0,20,4,5,74,0.0,1,,8.0,0,0
8286,run,CLE,2.0,1,1,5,83,1.0,1,N.Chubb,20.0,1,0
8287,run,CLE,1.0,10,1,5,63,1.0,1,N.Chubb,13.0,1,0
8288,run,CLE,1.0,10,1,5,50,1.0,1,N.Chubb,-1.0,0,0
8290,run,CLE,1.0,10,1,5,29,1.0,1,K.Hunt,12.0,1,0
8291,run,CLE,1.0,10,1,5,17,1.0,1,K.Hunt,0.0,0,0
8293,run,CLE,3.0,14,1,5,21,1.0,1,K.Hunt,9.0,0,0
8294,run,LAC,1.0,10,1,5,85,0.0,1,A.Ekeler,2.0,0,0
8295,run,LAC,2.0,8,1,5,83,0.0,1,A.Ekeler,8.0,1,0
8299,run,LAC,1.0,10,1,5,43,0.0,1,,11.0,1,0
8301,run,LAC,2.0,10,1,5,32,0.0,1,A.Ekeler,2.0,0,0
8302,run,LAC,1.0,10,1,5,25,0.0,1,J.Kelley,3.0,0,0
8305,run,CLE,1.0,10,1,5,41,1.0,1,N.Chubb,7.0,0,0
8306,run,CLE,2.0,3,1,5,34,1.0,1,N.Chubb,5.0,1,0
8308,run,CLE,1.0,10,2,5,17,1.0,1,N.Chubb,5.0,0,0
8309,run,CLE,2.0,5,2,5,12,1.0,1,N.Chubb,-5.0,0,0
8310,run,CLE,1.0,8,2,5,8,1.0,1,N.Chubb,1.0,0,0
8312,run,LAC,1.0,10,2,5,82,0.0,1,,10.0,1,0
8317,run,CLE,1.0,10,2,5,38,1.0,1,K.Hunt,8.0,1,0
8322,run,LAC,1.0,10,2,5,83,0.0,1,A.Ekeler,5.0,0,0
8325,run,CLE,1.0,10,2,5,53,1.0,1,N.Chubb,6.0,0,0
8326,run,CLE,2.0,4,2,5,47,1.0,1,N.Chubb,2.0,0,0
8327,run,CLE,3.0,2,2,5,45,1.0,1,N.Chubb,6.0,1,0
8328,run,CLE,1.0,10,2,5,39,1.0,1,N.Chubb,-1.0,0,0
8329,run,CLE,2.0,11,2,5,40,1.0,1,,7.0,0,0
8330,run,CLE,3.0,4,2,5,33,1.0,1,K.Hunt,5.0,1,0
8332,run,CLE,1.0,10,2,5,12,1.0,1,N.Chubb,8.0,0,0
8333,run,CLE,2.0,2,2,5,4,1.0,1,N.Chubb,1.0,0,0
8334,run,CLE,3.0,1,2,5,3,1.0,1,N.Chubb,0.0,0,0
8335,run,CLE,4.0,1,2,5,3,1.0,1,K.Hunt,3.0,1,1
8340,run,CLE,1.0,10,3,5,75,0.0,1,N.Chubb,3.0,0,0
8343,run,CLE,1.0,10,3,5,58,0.0,1,N.Chubb,6.0,0,0
8344,run,CLE,2.0,4,3,5,52,0.0,1,N.Chubb,52.0,1,1
8345,run,LAC,1.0,10,3,5,84,1.0,1,A.Ekeler,2.0,0,0
8348,run,LAC,4.0,2,3,5,76,1.0,1,A.Ekeler,9.0,1,0
8350,run,LAC,2.0,3,3,5,60,1.0,1,J.Kelley,14.0,1,0
8353,run,LAC,1.0,10,3,5,25,1.0,1,A.Ekeler,3.0,0,0
8357,run,LAC,1.0,10,3,5,10,1.0,1,A.Ekeler,1.0,0,0
8358,run,LAC,2.0,9,3,5,9,1.0,1,,9.0,1,1
8360,run,CLE,1.0,10,3,5,73,0.0,1,K.Hunt,4.0,0,0
8362,run,CLE,1.0,20,3,5,66,0.0,1,K.Hunt,1.0,0,0
8363,run,CLE,2.0,19,3,5,65,0.0,1,,1.0,0,0
8366,run,LAC,2.0,3,3,5,73,0.0,1,A.Ekeler,2.0,0,0
8371,run,CLE,1.0,10,4,5,68,0.0,1,N.Chubb,1.0,0,0
8385,run,LAC,2.0,10,4,5,65,1.0,1,A.Ekeler,6.0,0,0
8387,run,LAC,1.0,15,4,5,31,1.0,1,A.Ekeler,2.0,0,0
8391,run,LAC,1.0,4,4,5,4,1.0,1,A.Ekeler,4.0,1,1
8393,run,CLE,1.0,10,4,5,47,1.0,1,N.Chubb,8.0,0,0
8394,run,CLE,2.0,2,4,5,39,1.0,1,N.Chubb,24.0,1,0
8395,run,CLE,1.0,10,4,5,15,1.0,1,K.Hunt,7.0,0,0
8396,run,CLE,2.0,3,4,5,8,1.0,1,K.Hunt,8.0,1,1
8398,run,LAC,2.0,6,4,5,71,1.0,1,A.Ekeler,1.0,0,0
8403,run,CLE,1.0,10,4,5,86,0.0,1,K.Hunt,1.0,0,0
8405,run,CLE,3.0,9,4,5,85,0.0,1,K.Hunt,3.0,0,0
8407,run,LAC,1.0,10,4,5,19,1.0,1,A.Ekeler,4.0,0,0
8408,run,LAC,2.0,6,4,5,15,1.0,1,A.Ekeler,4.0,0,0
8409,run,LAC,3.0,2,4,5,11,1.0,1,A.Ekeler,8.0,1,0
8410,run,LAC,1.0,3,4,5,3,1.0,1,A.Ekeler,3.0,1,1
8411,run,LAC,,0,4,5,2,1.0,1,A.Ekeler,,0,0
8419,run,PIT,1.0,10,1,5,85,0.0,1,N.Harris,6.0,0,0
8420,run,PIT,2.0,4,1,5,79,0.0,1,N.Harris,3.0,0,0
8422,run,PIT,1.0,10,1,5,53,0.0,1,J.Smith-Schuster,3.0,0,0
8425,run,DEN,1.0,15,1,5,80,0.0,1,M.Gordon,1.0,0,0
8426,run,DEN,2.0,14,1,5,79,0.0,1,M.Gordon,5.0,0,0
8428,run,PIT,1.0,10,1,5,83,0.0,1,N.Harris,3.0,0,0
8429,run,PIT,2.0,7,1,5,80,0.0,1,N.Harris,5.0,0,0
8432,run,PIT,2.0,10,1,5,71,0.0,1,N.Harris,7.0,0,0
8434,run,PIT,1.0,10,1,5,59,0.0,1,N.Harris,6.0,0,0
8435,run,PIT,2.0,4,1,5,53,0.0,1,N.Harris,5.0,1,0
8436,run,PIT,1.0,15,1,5,53,0.0,1,K.Ballage,2.0,0,0
8438,run,DEN,1.0,10,1,5,29,0.0,1,J.Williams,2.0,0,0
8439,run,DEN,2.0,8,1,5,27,0.0,1,J.Williams,-4.0,0,0
8442,run,PIT,1.0,10,1,5,62,0.0,1,N.Harris,4.0,0,0
8444,run,PIT,1.0,10,2,5,52,0.0,1,N.Harris,5.0,0,0
8445,run,PIT,2.0,5,2,5,47,0.0,1,N.Harris,20.0,1,0
8446,run,PIT,1.0,10,2,5,27,0.0,1,K.Ballage,-3.0,0,0
8449,run,DEN,1.0,10,2,5,78,0.0,1,M.Gordon,8.0,0,0
8452,run,PIT,1.0,10,2,5,91,0.0,1,N.Harris,3.0,0,0
8453,run,PIT,2.0,7,2,5,88,0.0,1,N.Harris,5.0,0,0
8455,run,DEN,1.0,10,2,5,60,1.0,1,J.Williams,0.0,0,0
8457,run,DEN,3.0,1,2,5,51,1.0,1,J.Williams,49.0,1,0
8458,run,DEN,1.0,7,2,5,7,1.0,1,J.Williams,2.0,0,0
8461,run,PIT,1.0,10,2,5,75,1.0,1,J.Smith-Schuster,3.0,0,0
8463,run,PIT,1.0,10,2,5,13,1.0,1,N.Harris,0.0,0,0
8465,run,PIT,1.0,1,2,5,1,1.0,1,N.Harris,0.0,0,0
8466,run,PIT,2.0,1,2,5,1,1.0,1,N.Harris,1.0,1,1
8472,run,PIT,1.0,10,2,5,90,0.0,1,N.Harris,3.0,0,0
8473,run,PIT,2.0,12,2,5,92,0.0,1,N.Harris,13.0,1,0
8475,run,PIT,2.0,5,2,5,74,0.0,1,K.Ballage,-2.0,0,0
8477,run,DEN,1.0,10,3,5,73,0.0,1,M.Gordon,7.0,0,0
8479,run,DEN,1.0,10,3,5,63,0.0,1,M.Gordon,1.0,0,0
8481,run,DEN,1.0,10,3,5,50,0.0,1,M.Gordon,1.0,0,0
8482,run,DEN,2.0,9,3,5,49,0.0,1,M.Gordon,2.0,0,0
8484,run,PIT,1.0,10,3,5,86,1.0,1,N.Harris,5.0,0,0
8485,run,PIT,2.0,5,3,5,81,1.0,1,N.Harris,18.0,1,0
8486,run,PIT,1.0,10,3,5,63,1.0,1,K.Ballage,3.0,0,0
8489,run,PIT,1.0,10,3,5,42,1.0,1,N.Harris,8.0,0,0
8492,run,PIT,1.0,10,3,5,31,1.0,1,N.Harris,-1.0,0,0
8493,run,PIT,2.0,11,3,5,32,1.0,1,N.Harris,-1.0,0,0
8500,run,DEN,2.0,18,3,5,64,1.0,1,J.Williams,3.0,0,0
8503,run,DEN,1.0,10,4,5,46,1.0,1,J.Williams,10.0,1,0
8504,run,DEN,1.0,10,4,5,36,1.0,1,J.Williams,-1.0,0,0
8509,run,DEN,2.0,13,4,5,13,1.0,1,,11.0,0,0
8512,run,PIT,1.0,10,4,5,82,0.0,1,N.Harris,4.0,0,0
8513,run,PIT,2.0,16,4,5,88,0.0,1,B.Snell,9.0,0,0
8515,run,DEN,1.0,10,4,5,72,0.0,1,M.Gordon,4.0,0,0
8518,run,DEN,2.0,1,4,5,44,0.0,1,M.Gordon,5.0,1,0
8521,run,PIT,1.0,10,4,5,75,0.0,1,B.Snell,2.0,0,0
8524,run,PIT,1.0,10,4,5,35,0.0,1,B.Snell,1.0,0,0
8525,run,PIT,2.0,9,4,5,34,0.0,1,B.Snell,4.0,0,0
8526,run,PIT,3.0,5,4,5,30,0.0,1,B.Snell,4.0,0,0
8538,run,DET,1.0,10,1,5,75,0.0,1,J.Williams,2.0,0,0
8541,run,DET,2.0,2,1,5,55,0.0,1,J.Williams,3.0,1,0
8542,run,DET,1.0,10,1,5,52,0.0,1,D.Swift,12.0,1,0
8545,run,DET,2.0,10,1,5,22,0.0,1,J.Williams,1.0,0,0
8548,run,MIN,2.0,10,1,5,75,0.0,1,A.Mattison,4.0,0,0
